City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2022-05-22 22:51:11,-0.6,73.0833,83.93,70,97,13.96
1,Mont-Dore,NC,2022-05-22 22:51:12,-22.2833,166.5833,78.01,99,42,6.78
2,Thinadhoo,MV,2022-05-22 22:51:12,0.5333,72.9333,83.46,75,70,12.1
3,Jamestown,US,2022-05-22 22:48:00,42.097,-79.2353,54.01,90,100,12.66
4,Busselton,AU,2022-05-22 22:51:13,-33.65,115.3333,60.12,74,81,21.12
5,Slave Lake,CA,2022-05-22 22:46:47,55.2834,-114.769,57.18,51,0,10.36
6,San Cristobal,VE,2022-05-22 22:51:13,7.7669,-72.225,78.98,66,1,3.56
7,Ambon,ID,2022-05-22 22:51:14,-3.6954,128.1814,77.14,94,20,2.3
8,Port Alfred,ZA,2022-05-22 22:50:52,-33.5906,26.891,59.86,81,56,5.91
9,Talnakh,RU,2022-05-22 22:51:14,69.4865,88.3972,33.21,100,100,5.17
10,Cabo San Lucas,MX,2022-05-22 22:49:40,22.8909,-109.9124,83.61,66,3,12.86
11,Mar Del Plata,AR,2022-05-22 22:50:50,-38.0023,-57.5575,58.95,62,0,4.61
12,Airai,TL,2022-05-22 22:51:15,-8.9266,125.4092,62.53,82,48,3.62
13,Hilo,US,2022-05-22 22:51:16,19.7297,-155.09,90.28,50,0,7.0
14,Castro,BR,2022-05-22 22:51:16,-24.7911,-50.0119,48.88,82,14,2.57
15,Kapaa,US,2022-05-22 22:49:26,22.0752,-159.319,82.47,77,20,11.5
16,Rikitea,PF,2022-05-22 22:51:17,-23.1203,-134.9692,75.65,77,12,14.36
17,Qaanaaq,GL,2022-05-22 22:50:49,77.484,-69.3632,27.75,74,100,4.0
18,Norman Wells,CA,2022-05-22 22:49:26,65.282,-126.8329,48.24,43,75,5.75
19,Mahebourg,MU,2022-05-22 22:51:18,-20.4081,57.7,73.69,78,20,5.75
20,Naze,JP,2022-05-22 22:51:18,28.3667,129.4833,67.12,70,100,4.92
21,Kalmunai,LK,2022-05-22 22:51:19,7.4167,81.8167,79.59,75,26,4.61
22,Alyangula,AU,2022-05-22 22:51:20,-13.8483,136.4192,81.63,67,93,13.65
23,Sao Filipe,CV,2022-05-22 22:51:20,14.8961,-24.4956,71.89,78,6,6.13
24,Antalaha,MG,2022-05-22 22:51:21,-14.9003,50.2788,71.94,82,27,6.44
25,Abalak,RU,2022-05-22 22:51:21,58.1286,68.5944,38.01,93,26,6.33
26,Troitsko-Pechorsk,RU,2022-05-22 22:51:22,62.7084,56.1964,32.68,99,100,5.26
27,Acarau,BR,2022-05-22 22:51:22,-2.8856,-40.12,76.95,87,23,7.81
